,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,,,,,
ARI,@SF,WAS,DET,@CAR,@NYJ,@DAL,SEA,BYE,MIA,BUF,@SEA,@NE,LAR,@NYG,PHI,SF,@LAR,,,,,
ATL,SEA,@DAL,CHI,@GB,CAR,@MIN,DET,@CAR,DEN,BYE,@NO,LVR,NO,@LAC,TB,@KC,@TB,,,,,
BAL,CLE,@HOU,KC,@WAS,CIN,@PHI,BYE,PIT,@IND,@NE,TEN,@PIT,DAL,@CLE,JAC,NYG,@CIN,,,,,
BUF,NYJ,@MIA,LAR,@LV,@TEN,KC,@NYJ,NE,SEA,@ARI,BYE,LAC,@SF,PIT,@DEN,@NE,MIA,,,,,
CAR,LVR,@TB,@LAC,ARI,@ATL,CHI,@NO,ATL,@KC,TB,DET,@MIN,BYE,DEN,@GB,@WAS,NO,,,,,
CHI,@DET,NYG,@ATL,IND,TB,@CAR,@LAR,NO,@TEN,MIN,BYE,@GB,DET,HOU,@MIN,@JAX,GB,,,,,
CIN,LAC,@CLE,@PHI,JAC,@BAL,@IND,CLE,TEN,BYE,@PIT,@WAS,NYG,@MIA,DAL,PIT,@HOU,BAL,,,,,
CLE,@BAL,CIN,WAS,@DAL,IND,@PIT,@CIN,LVR,BYE,HOU,PHI,@JAX,@TEN,BAL,@NYG,@NYJ,PIT,,,,,
DAL,@LAR,ATL,@SEA,CLE,NYG,ARI,@WAS,@PHI,PIT,BYE,@MIN,WAS,@BAL,@CIN,SF,PHI,@NYG,,,,,
DEN,TEN,@PIT,TB,@NYJ,@NE,MIA,KC,BYE,@ATL,@LV,LAC,NO,@KC,@CAR,BUF,@LAC,LVR,,,,,
DET,CHI,@GB,@ARI,NO,BYE,@JAX,@ATL,IND,@MIN,WAS,@CAR,HOU,@CHI,GB,@TEN,TB,MIN,,,,,
GB,@MIN,DET,@NO,ATL,BYE,@TB,@HOU,MIN,@SF,JAC,@IND,CHI,PHI,@DET,CAR,TEN,@CHI,,,,,
HOU,@KC,BAL,@PIT,MIN,JAC,@TEN,GB,BYE,@JAX,@CLE,NE,@DET,IND,@CHI,@IND,CIN,TEN,,,,,
IND,@JAX,MIN,NYJ,@CHI,@CLE,CIN,BYE,@DET,BAL,@TEN,GB,TEN,@HOU,@LV,HOU,@PIT,JAC,,,,,
JAC,IND,@TEN,MIA,@CIN,@HOU,DET,BYE,@LAC,HOU,@GB,PIT,CLE,@MIN,TEN,@BAL,CHI,@IND,,,,,
KC,HOU,@LAC,@BAL,NE,LVR,@BUF,@DEN,NYJ,CAR,BYE,@LV,@TB,DEN,@MIA,@NO,ATL,LAC,,,,,
LVR,@CAR,NO,@NE,BUF,@KC,BYE,TB,@CLE,@LAC,DEN,KC,@ATL,@NYJ,IND,LAC,MIA,@DEN,,,,,
LAR,DAL,@PHI,@BUF,NYG,@WAS,@SF,CHI,@MIA,BYE,SEA,@TB,SF,@ARI,NE,NYJ,@SEA,ARI,,,,,
LAC,@CIN,KC,CAR,@TB,@NO,NYJ,@MIA,JAC,LVR,BYE,@DEN,@BUF,NE,ATL,@LV,DEN,@KC,,,,,
MIA,@NE,BUF,@JAX,SEA,@SF,@DEN,LAC,LAR,@ARI,NYJ,BYE,@NYJ,CIN,KC,NE,@LV,@BUF,,,,,
MIN,GB,@IND,TEN,@HOU,@SEA,ATL,BYE,@GB,DET,@CHI,DAL,CAR,JAC,@TB,CHI,@NO,@DET,,,,,
NE,MIA,@SEA,LVR,@KC,DEN,BYE,SF,@BUF,@NYJ,BAL,@HOU,ARI,@LAC,@LAR,@MIA,BUF,NYJ,,,,,
NO,TB,@LV,GB,@DET,LAC,BYE,CAR,@CHI,@TB,SF,ATL,@DEN,@ATL,@PHI,KC,MIN,@CAR,,,,,
NYG,PIT,@CHI,SF,@LAR,@DAL,WAS,@PHI,TB,@WAS,PHI,BYE,@CIN,@SEA,ARI,CLE,@BAL,DAL,,,,,
NYJ,@BUF,SF,@IND,DEN,ARI,@LAC,BUF,@KC,NE,@MIA,BYE,MIA,LVR,@SEA,@LAR,CLE,@NE,,,,,
PHI,@WAS,LAR,CIN,@SF,@PIT,BAL,NYG,DAL,BYE,@NYG,@CLE,SEA,@GB,NO,@ARI,@DAL,WAS,,,,,
PIT,@NYG,DEN,HOU,BYE,PHI,CLE,@TEN,@BAL,@DAL,CIN,@JAX,BAL,WAS,@BUF,@CIN,IND,@CLE,,,,,
SF,ARI,@NYJ,@NYG,PHI,MIA,LAR,@NE,@SEA,GB,@NO,BYE,@LAR,BUF,WAS,@DAL,@ARI,SEA,,,,,
SEA,@ATL,NE,DAL,@MIA,MIN,BYE,@ARI,SF,@BUF,@LAR,ARI,@PHI,NYG,NYJ,@WAS,LAR,@SF,,,,,
TB,@NO,CAR,@DEN,LAC,@CHI,GB,@LV,@NYG,NO,@CAR,LAR,KC,BYE,MIN,@ATL,@DET,ATL,,,,,
TEN,@DEN,JAC,@MIN,BYE,BUF,HOU,@PIT,@CIN,CHI,IND,@BAL,@IND,CLE,@JAX,DET,@GB,@HOU,,,,,
WAS,PHI,@ARI,@CLE,BAL,LAR,@NYG,DAL,BYE,NYG,@DET,CIN,@DAL,@PIT,@SF,SEA,CAR,@PHI,,,,,